encuesta,año,mes,aprueba_gob_pct,desaprueba_gob_pct,chile_progresando_pct,chile_estancado_pct,chile_decadencia_pct,futuro_mejor_pct,futuro_peor_pct,n,fecha,gobierno
71,2014,7,51.7,,43.3,,6.0,,,1442,2014-07-15,Bachelet II
72,2014,11,39.3,,31.9,,16.0,,,1432,2014-11-15,Bachelet II
73,2015,4,29.7,,16.6,,20.9,,,1434,2015-04-15,Bachelet II
74,2015,8,23.1,,14.8,,21.9,,,1420,2015-08-15,Bachelet II
75,2015,11,24.7,,18.0,,17.4,,,1449,2015-11-15,Bachelet II
77,2016,7,15.8,,13.3,,24.2,,,1416,2016-07-15,Bachelet II
78,2016,11,20.6,,16.9,,15.7,,,1464,2016-11-15,Bachelet II
79,2017,4,19.2,,17.2,,14.8,,,1481,2017-04-15,Bachelet II
80,2017,7,21.7,,16.2,,13.7,,,1419,2017-07-15,Bachelet II
81,2017,10,23.1,,18.1,,14.9,,,1424,2017-10-15,Bachelet II
82,2018,10,37.7,,30.3,,12.0,,,1402,2018-10-15,Piñera II
83,2019,5,26.3,,23.3,,15.1,,,1380,2019-05-15,Piñera II
84,2019,12,6.1,,6.3,,32.6,,,1496,2019-12-15,Piñera II
85,2021,8,16.4,,18.5,,20.4,,,1443,2021-08-15,Piñera II
86,2022,4,33.5,,16.0,,32.3,,,1355,2022-04-15,Boric
88,2022,11,25.5,,9.2,,35.7,,,1441,2022-11-15,Boric
89,2023,6,27.9,,13.6,,35.3,,,1467,2023-06-15,Boric
90,2023,9,27.6,,11.8,,34.0,,,1478,2023-09-15,Boric
91,2024,6,27.6,,15.3,,30.5,,,1478,2024-06-15,Boric
92,2024,8,32.3,,15.1,,29.2,,,1482,2024-08-15,Boric
93,2025,3,22.6,,14.1,,32.3,,,1493,2025-03-15,Boric
94,2025,5,23.3,,16.4,,31.4,,,1507,2025-05-15,Boric
95,2025,10,29.3,,19.7,,29.9,,,1217,2025-10-15,Boric
