año_mes,total_titulares,n_crisis,n_positivo,n_neutro,ratio_crisis,ratio_positivo,fecha,año,mes,ipec,narrativa_crisis_idx,delincuencia
2014-01,70,1,5,64,0.014285714285714285,0.07142857142857142,2014-01-01,2014,1,54.6,2.2,5
2014-02,77,2,1,74,0.025974025974025976,0.012987012987012988,2014-02-01,2014,2,54.3,1.8,5
2014-03,68,1,2,65,0.014705882352941176,0.029411764705882353,2014-03-01,2014,3,53.4,4.2,9
2014-04,47,0,2,45,0.0,0.0425531914893617,2014-04-01,2014,4,52.6,5.2,9
2014-05,50,0,3,47,0.0,0.06,2014-05-01,2014,5,50.3,6.6,13
2014-06,47,0,4,43,0.0,0.0851063829787234,2014-06-01,2014,6,49.2,6.6,12
2014-07,43,0,3,40,0.0,0.06976744186046512,2014-07-01,2014,7,47.5,3.4,8
2014-08,59,0,3,56,0.0,0.05084745762711865,2014-08-01,2014,8,43.1,5.6,14
2014-09,56,0,3,53,0.0,0.05357142857142857,2014-09-01,2014,9,42.5,5.4,12
2014-10,41,0,4,37,0.0,0.0975609756097561,2014-10-01,2014,10,43.1,6.0,13
2014-11,12,0,3,9,0.0,0.25,2014-11-01,2014,11,41.1,6.0,13
2014-12,39,0,3,36,0.0,0.07692307692307693,2014-12-01,2014,12,45.3,3.6,9
2015-01,39,1,1,37,0.02564102564102564,0.02564102564102564,2015-01-01,2015,1,41.9,2.4,8
2015-02,66,1,2,63,0.015151515151515152,0.030303030303030304,2015-02-01,2015,2,44.7,2.2,7
2015-03,63,0,2,61,0.0,0.031746031746031744,2015-03-01,2015,3,39.7,4.0,7
2015-04,69,0,7,62,0.0,0.10144927536231885,2015-04-01,2015,4,38.3,5.8,11
2015-05,72,0,5,67,0.0,0.06944444444444445,2015-05-01,2015,5,39.0,6.2,12
2015-06,48,0,3,45,0.0,0.0625,2015-06-01,2015,6,37.2,6.8,14
2015-07,40,1,3,36,0.025,0.075,2015-07-01,2015,7,34.3,7.8,27
2015-08,48,0,4,44,0.0,0.08333333333333333,2015-08-01,2015,8,33.9,10.0,31
2015-09,40,1,0,39,0.025,0.0,2015-09-01,2015,9,34.1,9.4,27
2015-10,40,0,1,39,0.0,0.025,2015-10-01,2015,10,35.2,8.4,26
2015-11,40,0,3,37,0.0,0.075,2015-11-01,2015,11,36.4,8.2,21
2015-12,48,0,2,46,0.0,0.041666666666666664,2015-12-01,2015,12,37.0,4.6,14
