fecha,econ_personal_actual,econ_pais_actual,econ_pais_12m,econ_pais_5a,consumo_hogar,ipec,fecha_dt,año,mes,fecha_str
ENE2014,49.0,59.3,59.7,39.3,66.0,54.6,2014-01-15,2014,1,2014-01
FEB2014,48.6,60.1,61.8,37.8,63.6,54.3,2014-02-15,2014,2,2014-02
MAR2014,46.9,60.4,62.0,37.1,60.8,53.4,2014-03-15,2014,3,2014-03
ABR2014,47.0,56.8,59.7,36.8,62.7,52.6,2014-04-15,2014,4,2014-04
MAY2014,42.3,53.3,58.5,38.7,59.0,50.3,2014-05-15,2014,5,2014-05
JUN2014,42.4,51.2,57.6,36.3,58.8,49.2,2014-06-15,2014,6,2014-06
JUL2014,42.1,49.3,55.3,35.2,55.8,47.5,2014-07-15,2014,7,2014-07
AGO2014,35.7,46.1,50.2,33.8,49.9,43.1,2014-08-15,2014,8,2014-08
SEP2014,40.8,45.3,50.5,29.8,46.5,42.5,2014-09-15,2014,9,2014-09
OCT2014,39.6,43.4,51.7,31.2,49.8,43.1,2014-10-15,2014,10,2014-10
NOV2014,35.6,42.6,49.3,31.7,46.2,41.1,2014-11-15,2014,11,2014-11
DIC2014,39.7,45.5,53.3,31.9,56.3,45.3,2014-12-15,2014,12,2014-12
ENE2015,39.0,46.1,50.2,23.8,50.4,41.9,2015-01-15,2015,1,2015-01
FEB2015,39.8,46.3,50.8,31.2,55.5,44.7,2015-02-15,2015,2,2015-02
MAR2015,38.3,40.9,45.8,26.4,47.3,39.7,2015-03-15,2015,3,2015-03
ABR2015,36.9,36.6,43.1,26.7,48.4,38.3,2015-04-15,2015,4,2015-04
MAY2015,35.2,37.4,42.8,27.8,52.1,39.0,2015-05-15,2015,5,2015-05
JUN2015,33.5,34.6,42.6,24.6,50.5,37.2,2015-06-15,2015,6,2015-06
JUL2015,31.4,31.8,40.6,24.1,43.6,34.3,2015-07-15,2015,7,2015-07
AGO2015,30.2,31.6,37.8,27.1,43.0,33.9,2015-08-15,2015,8,2015-08
SEP2015,31.6,32.8,37.4,26.8,41.8,34.1,2015-09-15,2015,9,2015-09
OCT2015,30.44,35.065,39.2,23.19,48.15,35.2,2015-10-15,2015,10,2015-10
NOV2015,32.3,32.375,40.6,27.5,49.1,36.4,2015-11-15,2015,11,2015-11
DIC2015,35.3,34.8,41.2,25.6,47.9,37.0,2015-12-15,2015,12,2015-12
ENE2016,35.8,32.9,35.7,21.5,45.8,34.3,2016-01-15,2016,1,2016-01
FEB2016,37.83,35.4,39.495,26.175,49.19,37.6,2016-02-15,2016,2,2016-02
MAR2016,34.31,33.705,39.0,28.18,42.19,35.5,2016-03-15,2016,3,2016-03
ABR2016,32.69,31.3,38.09,27.03,43.72,34.6,2016-04-15,2016,4,2016-04
MAY2016,32.4,30.67,35.595,26.435,44.565,33.9,2016-05-15,2016,5,2016-05
JUN2016,32.8,33.0,37.5,27.1,45.4,35.1,2016-06-15,2016,6,2016-06
JUL2016,31.08,29.77,36.735,21.37,45.85,33.0,2016-07-15,2016,7,2016-07
AGO2016,28.635,27.615,33.415,26.0,42.0,31.5,2016-08-15,2016,8,2016-08
SEP2016,33.53,30.705,35.365,24.78,42.68,33.4,2016-09-15,2016,9,2016-09
OCT2016,32.38,34.02,40.74,28.055,45.66,36.2,2016-10-15,2016,10,2016-10
NOV2016,33.55,33.0,37.85,29.7,52.0,37.2218911006787,2016-11-15,2016,11,2016-11
DIC2016,38.05,36.65,46.05,30.0,49.75,40.0845733308129,2016-12-15,2016,12,2016-12
ENE2017,36.72,34.53,45.7,28.84,50.22,39.2009791721606,2017-01-15,2017,1,2017-01
FEB2017,36.55,33.7,40.1,24.9,49.65,36.9834639343112,2017-02-15,2017,2,2017-02
MAR2017,34.9798052369654,35.6934048722327,44.1643772125632,24.616050447177,47.1666625159355,37.3240600569748,2017-03-15,2017,3,2017-03
ABR2017,36.9545244945437,37.7072279414819,44.4166572197692,32.7298762326169,48.5601209850593,40.0736813746942,2017-04-15,2017,4,2017-04
MAY2017,40.6933649980349,37.2780408728341,45.1973070544668,26.9339124593525,52.711193994664,40.5627638758705,2017-05-15,2017,5,2017-05
JUN2017,40.2080439446214,35.7680953048444,44.6129945223373,30.3292244321357,53.1460093817419,40.8128735171361,2017-06-15,2017,6,2017-06
JUL2017,34.9071945971046,36.7423699910577,48.8740910492143,31.3526886337809,53.3682960158434,41.0489280574002,2017-07-15,2017,7,2017-07
AGO2017,36.5171160327493,34.631620211104,47.1990392034841,31.4,55.9249359456175,41.1290954336901,2017-08-15,2017,8,2017-08
SEP2017,39.0170482507523,39.2593156229676,53.6569394664891,37.1254250319749,60.3951111136977,45.8907678971763,2017-09-15,2017,9,2017-09
OCT2017,40.1184611970655,41.9156529941394,55.8059617337113,34.563588177419,59.8601535200768,46.4527635244824,2017-10-15,2017,10,2017-10
