año,pib_crecimiento_pct,gini,chile_progresando_pct,chile_decadencia_pct,aprueba_gob_pct,gobierno,narrativa_crisis_idx,delincuencia,ipec_promedio
2014,1.8,,37.599999999999994,11.0,45.5,Bachelet II,4.716666666666667,10.166666666666666,48.083333333333336
2015,2.3,45.3,16.46666666666667,20.066666666666666,25.833333333333332,Bachelet II,6.316666666666666,17.083333333333332,37.641666666666666
2016,1.7,,15.1,19.95,18.200000000000003,Bachelet II,5.733333333333333,15.916666666666666,35.2005387026243
2017,1.3,45.3,17.166666666666668,14.466666666666667,21.333333333333332,Bachelet II,5.1000000000000005,14.083333333333334,42.50106142604113
2018,4.0,,30.3,12.0,37.7,Piñera II,5.083333333333333,12.25,48.91816507050405
2019,0.8,,14.8,23.85,16.2,Piñera II,7.766666666666667,10.916666666666666,39.15396990763238
2020,-6.0,47.0,,,,,5.491666666666667,7.5,26.38774353481899
2021,11.7,,18.5,20.4,16.4,Piñera II,4.383333333333334,9.0,33.179301897684745
2022,2.4,43.0,12.6,34.0,29.5,Boric,6.183333333333334,16.333333333333332,26.611482938130692
2023,0.2,,12.7,34.65,27.75,Boric,5.866666666666667,16.0,28.385568830372716
2024,2.6,,15.2,29.85,29.95,Boric,5.133333333333334,14.5,31.25832358443505
2025,,,16.733333333333334,31.2,25.066666666666666,Boric,5.133333333333334,13.583333333333334,36.45518147237557
