fecha,año,mes,narrativa_crisis_idx,delincuencia,crisis Chile,caos Chile,colapso Chile,inseguridad Chile,estallido,Boric,Piñera,Bachelet,ipec,econ_personal_actual,econ_pais_actual,econ_pais_12m
2014-01-01,2014,1,2.2,5,6,0.0,0.0,0,4,0.5,3,8,54.6,49.0,59.3,59.7
2014-02-01,2014,2,1.8,5,4,0.0,0.0,0,1,0.5,3,4,54.3,48.6,60.1,61.8
2014-03-01,2014,3,4.2,9,12,0.0,0.0,0,2,1.0,5,12,53.4,46.9,60.4,62.0
2014-04-01,2014,4,5.2,9,17,0.0,0.0,0,3,1.0,2,6,52.6,47.0,56.8,59.7
2014-05-01,2014,5,6.6,13,20,0.0,0.0,0,2,0.5,2,5,50.3,42.3,53.3,58.5
2014-06-01,2014,6,6.6,12,20,1.0,0.0,0,3,0.5,1,4,49.2,42.4,51.2,57.6
2014-07-01,2014,7,3.4,8,9,0.0,0.0,0,3,0.5,1,2,47.5,42.1,49.3,55.3
2014-08-01,2014,8,5.6,14,14,0.0,0.0,0,3,0.5,1,3,43.1,35.7,46.1,50.2
2014-09-01,2014,9,5.4,12,15,0.0,0.0,0,3,0.5,1,4,42.5,40.8,45.3,50.5
2014-10-01,2014,10,6.0,13,17,0.0,0.0,0,2,0.5,1,3,43.1,39.6,43.4,51.7
2014-11-01,2014,11,6.0,13,16,0.0,1.0,0,2,0.5,1,3,41.1,35.6,42.6,49.3
2014-12-01,2014,12,3.6,9,9,0.0,0.0,0,0,0.5,1,3,45.3,39.7,45.5,53.3
2015-01-01,2015,1,2.4,8,4,0.0,0.0,0,2,1.0,1,2,41.9,39.0,46.1,50.2
2015-02-01,2015,2,2.2,7,4,0.0,0.0,0,1,0.5,1,5,44.7,39.8,46.3,50.8
2015-03-01,2015,3,4.0,7,13,0.0,0.0,0,3,0.5,2,6,39.7,38.3,40.9,45.8
2015-04-01,2015,4,5.8,11,18,0.0,0.0,0,2,1.0,2,9,38.3,36.9,36.6,43.1
2015-05-01,2015,5,6.2,12,19,0.0,0.0,0,3,0.5,2,9,39.0,35.2,37.4,42.8
2015-06-01,2015,6,6.8,14,20,0.0,0.0,0,1,0.5,1,4,37.2,33.5,34.6,42.6
2015-07-01,2015,7,7.8,27,12,0.0,0.0,0,3,0.5,1,3,34.3,31.4,31.8,40.6
2015-08-01,2015,8,10.0,31,17,1.0,0.0,1,2,0.5,2,4,33.9,30.2,31.6,37.8
2015-09-01,2015,9,9.4,27,18,1.0,1.0,0,2,0.5,1,5,34.1,31.6,32.8,37.4
2015-10-01,2015,10,8.4,26,16,0.0,0.0,0,2,0.5,1,3,35.2,30.44,35.065,39.2
2015-11-01,2015,11,8.2,21,19,0.0,0.0,1,2,0.5,1,3,36.4,32.3,32.375,40.6
2015-12-01,2015,12,4.6,14,9,0.0,0.0,0,2,0.5,1,2,37.0,35.3,34.8,41.2
2016-01-01,2016,1,3.0,9,6,0.0,0.0,0,2,0.5,1,2,34.3,35.8,32.9,35.7
2016-02-01,2016,2,2.8,9,5,0.0,0.0,0,0,0.5,1,2,37.6,37.83,35.4,39.495
2016-03-01,2016,3,6.2,16,15,0.0,0.0,0,2,1.0,1,3,35.5,34.31,33.705,39.0
2016-04-01,2016,4,6.8,17,17,0.0,0.0,0,2,1.0,2,3,34.6,32.69,31.3,38.09
2016-05-01,2016,5,8.8,22,22,0.0,0.0,0,2,1.0,1,4,33.9,32.4,30.67,35.595
2016-06-01,2016,6,7.8,22,17,0.0,0.0,0,2,0.5,1,3,35.1,32.8,33.0,37.5
2016-07-01,2016,7,4.8,14,10,0.0,0.0,0,0,0.5,2,2,33.0,31.08,29.77,36.735
2016-08-01,2016,8,6.4,18,13,1.0,0.0,0,0,0.5,10,2,31.5,28.635,27.615,33.415
2016-09-01,2016,9,5.8,16,13,0.0,0.0,0,2,0.5,2,3,33.4,33.53,30.705,35.365
2016-10-01,2016,10,5.8,16,13,0.0,0.0,0,2,1.0,2,2,36.2,32.38,34.02,40.74
2016-11-01,2016,11,7.0,20,15,0.0,0.0,0,2,0.5,3,3,37.2218911006787,33.55,33.0,37.85
2016-12-01,2016,12,3.6,12,6,0.0,0.0,0,2,0.5,2,2,40.0845733308129,38.05,36.65,46.05
2017-01-01,2017,1,2.4,8,4,0.0,0.0,0,1,0.5,2,4,39.2009791721606,36.72,34.53,45.7
2017-02-01,2017,2,1.8,6,3,0.0,0.0,0,1,0.5,2,2,36.9834639343112,36.55,33.7,40.1
2017-03-01,2017,3,4.0,9,11,0.0,0.0,0,2,0.5,4,3,37.3240600569748,34.9798052369654,35.6934048722327,44.1643772125632
2017-04-01,2017,4,5.4,13,14,0.0,0.0,0,2,0.5,3,2,40.0736813746942,36.9545244945437,37.7072279414819,44.4166572197692
2017-05-01,2017,5,6.8,16,17,1.0,0.0,0,1,0.5,4,3,40.5627638758705,40.6933649980349,37.2780408728341,45.1973070544668
2017-06-01,2017,6,7.2,18,17,0.0,1.0,0,2,0.5,9,3,40.8128735171361,40.2080439446214,35.7680953048444,44.6129945223373
2017-07-01,2017,7,4.0,13,7,0.0,0.0,0,0,0.5,5,3,41.0489280574002,34.9071945971046,36.7423699910577,48.8740910492143
2017-08-01,2017,8,6.0,18,12,0.0,0.0,0,2,0.5,3,3,41.1290954336901,36.5171160327493,34.631620211104,47.1990392034841
2017-09-01,2017,9,5.2,14,12,0.0,0.0,0,2,0.5,4,4,45.8907678971763,39.0170482507523,39.2593156229676,53.6569394664891
2017-10-01,2017,10,6.4,20,12,0.0,0.0,0,2,0.5,6,3,46.4527635244824,40.1184611970655,41.9156529941394,55.8059617337113
2017-11-01,2017,11,8.4,24,17,1.0,0.0,0,2,1.0,21,4,47.3843443944941,40.5873768594141,42.8335519349329,56.5225010834039
2017-12-01,2017,12,3.6,10,8,0.0,0.0,0,1,1.0,25,4,53.1490158741031,43.4655483807749,49.545485113412,66.2150128353567
2018-01-01,2018,1,2.4,8,4,0.0,0.0,0,1,0.5,10,2,51.4918740707036,41.0230066672291,47.2210380740139,63.0533612639893
2018-02-01,2018,2,2.6,9,4,0.0,0.0,0,1,0.5,5,2,51.1,42.3,48.5,63.7
2018-03-01,2018,3,4.8,11,12,1.0,0.0,0,2,0.5,12,4,50.0,43.9,46.3,61.2
2018-04-01,2018,4,6.2,14,17,0.0,0.0,0,3,0.5,7,2,51.2499173761192,44.0910593653998,48.8992524062203,65.166695895565
2018-05-01,2018,5,7.2,17,18,1.0,0.0,0,2,0.5,4,1,51.2044801374976,46.1910554658861,51.1751098226883,61.3745088315093
2018-06-01,2018,6,7.8,21,18,0.0,0.0,0,2,0.5,5,1,52.734591947883,50.0096501741732,51.9225077364713,61.3384844708637
2018-07-01,2018,7,4.2,12,8,1.0,0.0,0,2,0.5,4,1,49.9954748938837,47.4071329372954,49.6584353222619,58.3271885329057
2018-08-01,2018,8,5.8,14,15,0.0,0.0,0,2,0.5,5,2,46.9748398322785,45.3660708519001,45.7052888820572,55.3036196488107
2018-09-01,2018,9,5.0,9,15,1.0,0.0,0,2,0.5,9,2,46.0701083638492,44.2413375000747,47.7749365568055,55.8055072987993
